"","Time","Dallas","","Score","","Utah"
"310","10:54.0","","","80-74","+2","J. Clarkson makes 2-pt jump shot from 7 ft"
"311","10:35.0","Turnover by M. Kleber (out of bounds lost ball)","","80-74","",""
"312","10:35.0","","","80-74","","E. Paschall enters the game for H. Whiteside"
"313","10:21.0","","","80-74","","Shooting foul by S. Dinwiddie (drawn by J. Clarkson)"
"314","10:21.0","","","80-75","+1","J. Clarkson makes free throw 1 of 2"
"315","10:21.0","R. Bullock enters the game for S. Dinwiddie","","80-75","",""
"316","10:21.0","","","80-76","+1","J. Clarkson makes free throw 2 of 2"
"317","10:12.0","Personal foul by J. Clarkson (drawn by L. Doncic)","","80-76","",""
"318","10:02.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","80-76","",""
"319","9:58.0","","","80-76","","Defensive rebound by J. Clarkson"
"320","9:51.0","","","80-76","","R. O'Neale misses 3-pt jump shot from 27 ft"
"321","9:48.0","Defensive rebound by M. Kleber","","80-76","",""
"322","9:45.0","Turnover by M. Kleber (lost ball; steal by E. Paschall)","","80-76","",""
"323","9:40.0","","","80-78","+2","D. Mitchell makes 2-pt layup from 5 ft"
"324","9:23.0","L. Doncic misses 2-pt layup from 6 ft (block by J. Clarkson)","","80-78","",""
"325","9:19.0","","","80-78","","Defensive rebound by M. Conley"
"326","9:13.0","","","80-78","","D. Mitchell misses 3-pt jump shot from 26 ft"
"327","9:09.0","","","80-78","","Offensive rebound by J. Clarkson"
"328","8:59.0","","","80-78","","J. Clarkson misses 2-pt layup from 6 ft"
"329","8:58.0","Defensive rebound by M. Kleber","","80-78","",""
"330","8:58.0","Personal foul by D. Mitchell (drawn by M. Kleber)","","80-78","",""
"331","8:58.0","S. Dinwiddie enters the game for M. Kleber","","80-78","",""
"332","8:40.0","S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by J. Brunson)","+3","83-78","",""
"333","8:21.0","","","83-78","","M. Conley misses 2-pt layup from 4 ft"
"334","8:18.0","","","83-78","","Offensive rebound by E. Paschall"
"335","8:17.0","","","83-80","+2","E. Paschall makes 2-pt layup from 2 ft"
"336","7:53.0","Shooting foul by R. O'Neale (drawn by L. Doncic)","","83-80","",""
"337","7:53.0","L. Doncic makes free throw 1 of 2","+1","84-80","",""
"338","7:53.0","","","84-80","","B. Bogdanovic enters the game for M. Conley"
"339","7:53.0","L. Doncic makes free throw 2 of 2","+1","85-80","",""
"340","7:43.0","","","85-80","","J. Clarkson misses 2-pt layup from 3 ft"
"341","7:41.0","Defensive rebound by R. Bullock","","85-80","",""
"342","7:24.0","L. Doncic misses 3-pt jump shot from 26 ft","","85-80","",""
