"","Time","Boston","","Score","","Milwaukee"
"316","7:52.0","J. Tatum misses 3-pt jump shot from 27 ft","","54-58","",""
"317","7:47.0","","","54-58","","Defensive rebound by J. Holiday"
"318","7:41.0","","","54-60","+2","P. Connaughton makes 2-pt layup from 1 ft (assist by J. Holiday)"
"319","7:36.0","Turnover by M. Smart (bad pass; steal by J. Holiday)","","54-60","",""
"320","7:32.0","","","54-60","","Personal foul by G. Williams (drawn by G. Antetokounmpo)"
"321","7:20.0","","","54-62","+2","B. Portis makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo)"
"322","6:58.0","G. Williams misses 2-pt layup from 4 ft","","54-62","",""
"323","6:57.0","Offensive rebound by R. Williams","","54-62","",""
"324","6:57.0","R. Williams makes 2-pt dunk at rim","+2","56-62","",""
"325","6:37.0","","","56-64","+2","J. Holiday makes 2-pt jump shot from 13 ft"
"326","6:19.0","R. Williams misses 2-pt layup from 3 ft","","56-64","",""
"327","6:16.0","","","56-64","","Defensive rebound by P. Connaughton"
"328","6:14.0","","","56-66","+2","J. Holiday makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)"
"329","6:14.0","Boston full timeout","","56-66","",""
"330","6:14.0","A. Horford enters the game for R. Williams","","56-66","",""
"331","5:52.0","G. Williams makes 2-pt dunk from 1 ft (assist by A. Horford)","+2","58-66","",""
"332","5:34.0","","","58-66","","J. Holiday misses 2-pt jump shot from 11 ft (block by J. Tatum)"
"333","5:31.0","Defensive rebound by G. Williams","","58-66","",""
"334","5:26.0","M. Smart makes 3-pt jump shot from 27 ft (assist by A. Horford)","+3","61-66","",""
"335","5:05.0","","","61-66","","W. Matthews misses 2-pt jump shot from 6 ft"
"336","5:03.0","Defensive rebound by J. Brown","","61-66","",""
"337","5:00.0","M. Smart misses 3-pt jump shot from 28 ft","","61-66","",""
"338","4:59.0","","","61-66","","Defensive rebound by Team"
"339","4:59.0","Loose ball foul by G. Williams (drawn by B. Portis)","","61-66","",""
"340","4:59.0","","","61-67","+1","B. Portis makes free throw 1 of 2"
"341","4:59.0","D. Theis enters the game for G. Williams","","61-67","",""
"342","4:59.0","","","61-68","+1","B. Portis makes free throw 2 of 2"
"343","4:39.0","J. Tatum misses 3-pt jump shot from 27 ft","","61-68","",""
"344","4:36.0","","","61-68","","Defensive rebound by B. Portis"
"345","4:33.0","","","61-68","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"346","4:33.0","","","61-69","+1","G. Antetokounmpo makes free throw 1 of 2"
