"","Time","Utah","","Score","","Dallas"
"294","3:17.0","","","64-55","","Shooting foul by H. Whiteside (drawn by D. Bertans)"
"295","3:17.0","","","64-56","+1","D. Bertans makes free throw 1 of 2"
"296","3:17.0","","","64-56","","D. Bertans misses free throw 2 of 2"
"297","3:14.0","","","64-56","","Offensive rebound by D. Finney-Smith"
"298","3:13.0","","","64-56","","D. Bertans misses 3-pt jump shot from 26 ft"
"299","3:11.0","Defensive rebound by H. Whiteside","","64-56","",""
"300","2:50.0","D. Mitchell makes 2-pt layup from 3 ft","+2","66-56","",""
"301","2:46.0","","","66-56","","Offensive foul by R. Bullock (drawn by D. House)"
"302","2:46.0","","","66-56","","Turnover by R. Bullock (offensive foul)"
"303","2:46.0","Utah full timeout","","66-56","",""
"304","2:46.0","M. Conley enters the game for B. Bogdanovic","","66-56","",""
"305","2:46.0","","","66-56","","J. Brunson enters the game for M. Kleber"
"306","2:37.0","Personal foul by R. Bullock (drawn by D. Mitchell)","","66-56","",""
"307","2:37.0","D. Mitchell makes free throw 1 of 2","+1","67-56","",""
"308","2:37.0","D. Mitchell makes free throw 2 of 2","+1","68-56","",""
"309","2:24.0","","","68-56","","Def 3 sec tech foul by Team"
"310","2:24.0","","","68-57","+1","R. Bullock makes technical free throw"
"311","2:10.0","","","68-59","+2","S. Dinwiddie makes 2-pt layup from 5 ft"
"312","1:54.0","D. Mitchell misses 2-pt layup from 4 ft (block by D. Finney-Smith)","","68-59","",""
"313","1:52.0","Offensive rebound by D. Mitchell","","68-59","",""
"314","1:48.0","D. House misses 3-pt jump shot from 22 ft","","68-59","",""
"315","1:47.0","","","68-59","","Defensive rebound by S. Dinwiddie"
"316","1:46.0","","","68-59","","Personal foul by J. Clarkson (drawn by S. Dinwiddie)"
"317","1:46.0","","","68-59","","S. Dinwiddie misses free throw 1 of 2"
"318","1:46.0","","","68-59","","Offensive rebound by Team"
"319","1:46.0","R. Gobert enters the game for H. Whiteside","","68-59","",""
"320","1:46.0","","","68-59","","S. Dinwiddie misses free throw 2 of 2"
"321","1:44.0","Defensive rebound by R. Gobert","","68-59","",""
"322","1:24.0","Turnover by D. Mitchell (bad pass; steal by S. Dinwiddie)","","68-59","",""
"323","1:21.0","","","68-59","","Shooting foul by D. House (drawn by S. Dinwiddie)"
"324","1:21.0","","","68-60","+1","S. Dinwiddie makes free throw 1 of 2"
"325","1:21.0","","","68-60","","S. Dinwiddie misses free throw 2 of 2"
"326","1:17.0","Defensive rebound by R. Gobert","","68-60","",""
"327","1:06.0","M. Conley misses 2-pt jump shot from 16 ft","","68-60","",""
"328","1:05.0","","","68-60","","Defensive rebound by Team"
"329","1:05.0","Loose ball foul by R. Gobert (drawn by D. Finney-Smith)","","68-60","",""
"330","1:05.0","","","68-61","+1","D. Finney-Smith makes free throw 1 of 2"
