"","Time","Dallas","","Score","","Golden State"
"282","5:52.0","","","54-73","+2","K. Thompson makes 2-pt jump shot from 14 ft (assist by K. Looney)"
"283","5:28.0","M. Kleber makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","57-73","",""
"284","5:09.0","","","57-75","+2","K. Thompson makes 2-pt layup from 4 ft (assist by K. Looney)"
"285","4:55.0","J. Brunson makes 2-pt jump shot from 19 ft","+2","59-75","",""
"286","4:28.0","","","59-77","+2","K. Looney makes 2-pt dunk from 2 ft (assist by K. Thompson)"
"287","4:13.0","R. Bullock misses 3-pt jump shot from 24 ft","","59-77","",""
"288","4:10.0","","","59-77","","Defensive rebound by S. Curry"
"289","3:54.0","","","59-77","","Turnover by S. Curry (bad pass; steal by R. Bullock)"
"290","3:52.0","Offensive foul by D. Finney-Smith (drawn by S. Curry)","","59-77","",""
"291","3:52.0","Turnover by D. Finney-Smith (offensive foul)","","59-77","",""
"292","3:52.0","S. Dinwiddie enters the game for R. Bullock","","59-77","",""
"293","3:52.0","","","59-77","","J. Poole enters the game for K. Thompson"
"294","3:40.0","","","59-77","","S. Curry misses 2-pt jump shot from 20 ft"
"295","3:38.0","Defensive rebound by Team","","59-77","",""
"296","3:25.0","L. Doncic misses 2-pt jump shot from 7 ft","","59-77","",""
"297","3:23.0","","","59-77","","Defensive rebound by K. Looney"
"298","3:17.0","","","59-77","","J. Poole misses 3-pt jump shot from 30 ft"
"299","3:16.0","Defensive rebound by Team","","59-77","",""
"300","3:16.0","","","59-77","","Loose ball foul by O. Porter (drawn by L. Doncic)"
"301","3:02.0","Turnover by L. Doncic (bad pass; steal by A. Wiggins)","","59-77","",""
"302","2:59.0","","","59-79","+2","O. Porter makes 2-pt layup from 4 ft (assist by J. Poole)"
"303","2:48.0","S. Dinwiddie makes 2-pt jump shot from 7 ft","+2","61-79","",""
"304","2:48.0","Shooting foul by J. Poole (drawn by S. Dinwiddie)","","61-79","",""
"305","2:48.0","D. Bertans enters the game for L. Doncic","","61-79","",""
"306","2:48.0","","","61-79","","K. Thompson enters the game for A. Wiggins"
"307","2:48.0","S. Dinwiddie makes free throw 1 of 1","+1","62-79","",""
"308","2:35.0","","","62-81","+2","O. Porter makes 2-pt layup from 4 ft (assist by K. Looney)"
"309","2:24.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","62-81","",""
"310","2:21.0","","","62-81","","Defensive rebound by S. Curry"
"311","2:09.0","","","62-81","","K. Thompson misses 2-pt jump shot from 11 ft"
"312","2:06.0","","","62-81","","Offensive rebound by S. Curry"
"313","2:02.0","","","62-83","+2","S. Curry makes 2-pt jump shot from 20 ft"
"314","2:02.0","","","62-83","","Shooting foul by D. Finney-Smith (drawn by S. Curry)"
"315","2:02.0","","","62-84","+1","S. Curry makes free throw 1 of 1"
"316","1:38.0","J. Brunson misses 2-pt jump shot from 11 ft","","62-84","",""
"317","1:36.0","Offensive rebound by D. Finney-Smith","","62-84","",""
"318","1:33.0","D. Finney-Smith misses 2-pt layup at rim","","62-84","",""
"319","1:32.0","Offensive rebound by D. Finney-Smith","","62-84","",""
"320","1:31.0","Offensive foul by D. Finney-Smith (drawn by O. Porter)","","62-84","",""
"321","1:31.0","Turnover by D. Finney-Smith (offensive foul)","","62-84","",""
"322","1:13.0","","","62-84","","K. Thompson misses 2-pt layup from 6 ft"
"323","1:11.0","Defensive rebound by M. Kleber","","62-84","",""
"324","1:02.0","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","65-84","",""
"325","0:43.0","","","65-86","+2","J. Poole makes 2-pt jump shot from 9 ft"
"326","0:37.0","Shooting foul by S. Curry (drawn by S. Dinwiddie)","","65-86","",""
"327","0:37.0","S. Dinwiddie misses free throw 1 of 2","","65-86","",""
"328","0:37.0","Offensive rebound by Team","","65-86","",""
"329","0:37.0","S. Dinwiddie makes free throw 2 of 2","+1","66-86","",""
"330","0:32.0","","","66-86","","S. Curry misses 3-pt jump shot from 33 ft"
"331","0:30.0","Defensive rebound by D. Bertans","","66-86","",""
"332","0:09.0","S. Dinwiddie makes 3-pt jump shot from 28 ft","+3","69-86","",""
