"","Time","Chicago","","Score","","Milwaukee"
"288","5:34.0","","","60-79","","B. Lopez enters the game for G. Antetokounmpo"
"289","5:34.0","D. DeRozan misses free throw 2 of 2","","60-79","",""
"290","5:30.0","","","60-79","","Defensive rebound by B. Portis"
"291","5:23.0","","","60-79","","J. Holiday misses 3-pt jump shot from 26 ft"
"292","5:20.0","Defensive rebound by N. Vucevic","","60-79","",""
"293","5:01.0","D. Jones misses 3-pt jump shot from 23 ft","","60-79","",""
"294","4:58.0","","","60-79","","Defensive rebound by B. Portis"
"295","4:51.0","","","60-79","","Offensive foul by B. Portis (drawn by C. White)"
"296","4:51.0","","","60-79","","Turnover by B. Portis (offensive foul)"
"297","4:51.0","T. Thompson enters the game for N. Vucevic","","60-79","",""
"298","4:51.0","","","60-79","","P. Connaughton enters the game for B. Portis"
"299","4:34.0","Shooting foul by B. Lopez (drawn by D. Jones)","","60-79","",""
"300","4:34.0","D. Jones misses free throw 1 of 2","","60-79","",""
"301","4:34.0","Offensive rebound by Team","","60-79","",""
"302","4:34.0","","","60-79","","J. Carter enters the game for W. Matthews"
"303","4:34.0","D. Jones makes free throw 2 of 2","+1","61-79","",""
"304","4:09.0","","","61-82","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by J. Carter)"
"305","3:56.0","D. Jones misses 2-pt layup from 8 ft (block by B. Lopez)","","61-82","",""
"306","3:52.0","","","61-82","","Defensive rebound by G. Allen"
"307","3:48.0","","","61-85","+3","P. Connaughton makes 3-pt jump shot from 25 ft (assist by J. Holiday)"
"308","3:47.0","Chicago full timeout","","61-85","",""
"309","3:47.0","T. Brown enters the game for A. Dosunmu","","61-85","",""
"310","3:47.0","P. Williams enters the game for D. Jones","","61-85","",""
"311","3:30.0","D. DeRozan misses 2-pt jump shot from 17 ft","","61-85","",""
"312","3:27.0","","","61-85","","Defensive rebound by P. Connaughton"
"313","3:16.0","","","61-88","+3","G. Allen makes 3-pt jump shot from 23 ft (assist by P. Connaughton)"
"314","3:01.0","P. Williams makes 3-pt jump shot from 24 ft (assist by C. White)","+3","64-88","",""
"315","2:47.0","","","64-88","","J. Holiday misses 2-pt jump shot from 13 ft"
"316","2:45.0","Defensive rebound by T. Brown","","64-88","",""
"317","2:36.0","C. White misses 3-pt jump shot from 25 ft","","64-88","",""
"318","2:36.0","Offensive rebound by Team","","64-88","",""
"319","2:36.0","","","64-88","","Loose ball foul by G. Allen (drawn by T. Thompson)"
"320","2:36.0","N. Vucevic enters the game for T. Thompson","","64-88","",""
"321","2:36.0","","","64-88","","G. Antetokounmpo enters the game for J. Carter"
"322","2:36.0","","","64-88","","S. Ibaka enters the game for B. Lopez"
"323","2:27.0","Turnover by C. White (lost ball; steal by G. Allen)","","64-88","",""
"324","2:19.0","","","64-88","","G. Allen misses 3-pt jump shot from 26 ft"
"325","2:19.0","Defensive rebound by Team","","64-88","",""
"326","2:10.0","C. White misses 3-pt jump shot from 26 ft","","64-88","",""
"327","2:06.0","","","64-88","","Defensive rebound by J. Holiday"
"328","1:58.0","","","64-88","","J. Holiday misses 3-pt jump shot from 22 ft"
"329","1:55.0","Defensive rebound by N. Vucevic","","64-88","",""
"330","1:47.0","T. Brown misses 3-pt jump shot from 27 ft","","64-88","",""
"331","1:41.0","","","64-88","","Defensive rebound by G. Antetokounmpo"
"332","1:41.0","","","64-90","+2","G. Antetokounmpo makes 2-pt jump shot from 5 ft"
"333","1:41.0","","","64-90","","Shooting foul by P. Williams (drawn by G. Antetokounmpo)"
"334","1:41.0","J. Green enters the game for P. Williams","","64-90","",""
"335","1:41.0","","","64-91","+1","G. Antetokounmpo makes free throw 1 of 1"
"336","1:21.0","C. White makes 3-pt jump shot from 26 ft (assist by N. Vucevic)","+3","67-91","",""
"337","0:56.0","","","67-91","","G. Antetokounmpo misses 2-pt layup from 3 ft"
"338","0:53.0","Defensive rebound by N. Vucevic","","67-91","",""
"339","0:52.0","Shooting foul by P. Connaughton (drawn by J. Green)","","67-91","",""
