"","Time","Milwaukee","","Score","","Boston"
"195","2:30.0","G. Antetokounmpo makes 2-pt layup from 2 ft","+2","42-51","",""
"196","2:13.0","","","42-54","+3","M. Smart makes 3-pt jump shot from 26 ft"
"197","2:03.0","G. Antetokounmpo misses 3-pt jump shot from 27 ft","","42-54","",""
"198","2:00.0","Offensive rebound by Team","","42-54","",""
"199","2:00.0","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)"
"200","1:46.0","G. Allen misses 2-pt layup from 9 ft","","42-54","",""
"201","1:45.0","","","42-54","","Defensive rebound by A. Horford"
"202","1:40.0","","","42-54","","Turnover by A. Horford (bad pass)"
"203","1:40.0","B. Portis enters the game for P. Connaughton","","42-54","",""
"204","1:33.0","Personal foul by J. Brown (drawn by J. Holiday)","","42-54","",""
"205","1:23.0","G. Antetokounmpo makes 2-pt layup from 6 ft (assist by G. Allen)","+2","44-54","",""
"206","1:04.0","","","44-54","","J. Tatum misses 3-pt jump shot from 25 ft"
"207","1:02.0","Defensive rebound by Team","","44-54","",""
"208","0:51.0","G. Antetokounmpo makes 2-pt layup from 3 ft","+2","46-54","",""
"209","0:51.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","46-54","",""
"210","0:51.0","G. Antetokounmpo makes free throw 1 of 1","+1","47-54","",""
"211","0:30.0","","","47-54","","J. Tatum misses 3-pt jump shot from 25 ft"
"212","0:28.0","Defensive rebound by B. Portis","","47-54","",""
"213","0:07.0","B. Portis misses 2-pt layup from 2 ft (block by J. Tatum)","","47-54","",""
"214","0:05.0","Offensive rebound by B. Portis","","47-54","",""
"215","0:03.0","W. Matthews misses 3-pt jump shot from 28 ft","","47-54","",""
"216","0:00.0","","","47-54","","Defensive rebound by M. Smart"
"217","0:00.0","","","47-54","","Instant Replay (Request: Ruling Stands)"
"218","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"219","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"220","Time","Milwaukee","","Score","","Boston"
"221","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"222","11:38.0","","","47-54","","A. Horford misses 3-pt jump shot from 25 ft"
"223","11:35.0","","","47-54","","Offensive rebound by J. Brown"
"224","11:33.0","","","47-56","+2","J. Brown makes 2-pt layup from 2 ft"
"225","11:14.0","Personal foul by J. Tatum (drawn by G. Antetokounmpo)","","47-56","",""
"226","11:06.0","G. Antetokounmpo makes 2-pt jump shot from 18 ft","+2","49-56","",""
"227","10:46.0","","","49-56","","Turnover by G. Williams (out of bounds lost ball)"
"228","10:35.0","B. Lopez misses 3-pt jump shot from 25 ft","","49-56","",""
"229","10:32.0","","","49-56","","Defensive rebound by J. Brown"
"230","10:21.0","","","49-56","","J. Brown misses 2-pt jump shot from 8 ft"
"231","10:19.0","Defensive rebound by Team","","49-56","",""
"232","10:11.0","Personal foul by G. Williams (drawn by G. Antetokounmpo)","","49-56","",""
"233","10:06.0","G. Antetokounmpo misses 2-pt layup from 5 ft","","49-56","",""
"234","10:03.0","","","49-56","","Defensive rebound by A. Horford"
"235","9:58.0","","","49-58","+2","J. Tatum makes 2-pt jump shot from 9 ft (assist by J. Brown)"
"236","9:51.0","W. Matthews makes 3-pt jump shot from 24 ft (assist by J. Holiday)","+3","52-58","",""
"237","9:29.0","","","52-58","","G. Williams misses 3-pt jump shot from 24 ft"
"238","9:27.0","Defensive rebound by G. Antetokounmpo","","52-58","",""
"239","9:22.0","Shooting foul by J. Brown (drawn by G. Antetokounmpo)","","52-58","",""
"240","9:22.0","G. Antetokounmpo misses free throw 1 of 2","","52-58","",""
"241","9:22.0","Offensive rebound by Team","","52-58","",""
"242","9:22.0","G. Antetokounmpo misses free throw 2 of 2","","52-58","",""
"243","9:22.0","Offensive rebound by B. Lopez","","52-58","",""
"244","9:18.0","J. Holiday makes 3-pt jump shot from 26 ft (assist by B. Lopez)","+3","55-58","",""
"245","9:16.0","","","55-58","","Boston full timeout"
