"","Time","Utah","","Score","","Dallas"
"302","0:32.0","","","79-74","","J. Brunson misses 3-pt jump shot from 26 ft"
"303","0:29.0","Defensive rebound by M. Conley","","79-74","",""
"304","0:07.0","D. Mitchell makes 2-pt jump shot from 8 ft","+2","81-74","",""
"305","0:00.0","","","81-77","+3","M. Kleber makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"306","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"307","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"308","Time","Utah","","Score","","Dallas"
"309","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"310","11:36.0","","","81-77","","S. Dinwiddie misses 2-pt layup from 1 ft"
"311","11:34.0","","","81-77","","Offensive rebound by Team"
"312","11:26.0","","","81-79","+2","D. Powell makes 2-pt dunk from 1 ft (assist by S. Dinwiddie)"
"313","11:08.0","R. O'Neale makes 3-pt jump shot from 25 ft (assist by M. Conley)","+3","84-79","",""
"314","10:43.0","","","84-79","","S. Dinwiddie misses 2-pt jump shot from 4 ft"
"315","10:41.0","Defensive rebound by H. Whiteside","","84-79","",""
"316","10:30.0","J. Clarkson makes 2-pt jump shot from 13 ft","+2","86-79","",""
"317","10:20.0","","","86-79","","Personal foul by J. Clarkson (drawn by D. Bertans)"
"318","10:20.0","","","86-79","","Technical foul by D. Bertans"
"319","10:20.0","Technical foul by J. Clarkson","","86-79","",""
"320","10:20.0","D. Mitchell enters the game for J. Clarkson","","86-79","",""
"321","10:20.0","","","86-79","","D. Finney-Smith enters the game for D. Bertans"
"322","10:20.0","","","86-79","","J. Green enters the game for M. Kleber"
"323","10:07.0","","","86-79","","J. Green misses 2-pt jump shot from 15 ft"
"324","10:06.0","Defensive rebound by Team","","86-79","",""
"325","9:57.0","Personal foul by D. Powell (drawn by M. Conley)","","86-79","",""
"326","9:57.0","B. Bogdanovic enters the game for D. House","","86-79","",""
"327","9:57.0","","","86-79","","J. Brunson enters the game for J. Green"
"328","9:57.0","","","86-79","","M. Kleber enters the game for D. Powell"
"329","9:52.0","B. Bogdanovic misses 3-pt jump shot from 25 ft","","86-79","",""
"330","9:50.0","","","86-79","","Defensive rebound by J. Brunson"
"331","9:34.0","","","86-82","+3","M. Kleber makes 3-pt jump shot from 24 ft (assist by R. Bullock)"
"332","9:13.0","D. Mitchell makes 2-pt jump shot from 11 ft","+2","88-82","",""
"333","9:00.0","","","88-82","","Shooting foul by H. Whiteside (drawn by M. Kleber)"
"334","9:00.0","Technical foul by H. Whiteside","","88-82","",""
"335","9:00.0","","","88-83","+1","J. Brunson makes technical free throw"
"336","9:00.0","","","88-84","+1","M. Kleber makes free throw 1 of 2"
"337","9:00.0","R. Gobert enters the game for H. Whiteside","","88-84","",""
"338","9:00.0","","","88-84","","M. Kleber misses free throw 2 of 2"
"339","8:57.0","Defensive rebound by R. Gobert","","88-84","",""
"340","8:45.0","B. Bogdanovic makes 2-pt jump shot from 10 ft (assist by M. Conley)","+2","90-84","",""
"341","8:33.0","","","90-86","+2","J. Brunson makes 2-pt jump shot from 10 ft"
"342","8:21.0","M. Conley misses 3-pt jump shot from 24 ft","","90-86","",""
"343","8:18.0","Offensive rebound by R. O'Neale","","90-86","",""
