Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
6:23.0,G.Antetokounmpo,6,68-52,3.0,2-pt,hook,8,misses,Milwaukee,2022-06-05 06:23:00
6:02.0,G.Antetokounmpo,6,68-52,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 06:02:00
5:57.0,G.Antetokounmpo,6,68-54,3.0,2-pt,layup,,makes,Milwaukee,2022-06-05 05:57:00
3:24.0,G.Antetokounmpo,6,70-61,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 03:24:00
3:24.0,G.Antetokounmpo,6,70-62,3.0,free,throw,1,makes,Milwaukee,2022-06-05 03:24:00
2:54.0,G.Antetokounmpo,6,73-64,3.0,2-pt,hook,14,makes,Milwaukee,2022-06-05 02:54:00
0:33.0,G.Antetokounmpo,6,80-68,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 00:33:00
0:06.0,G.Antetokounmpo,6,82-69,3.0,free,throw,2,makes,Milwaukee,2022-06-05 00:06:00
0:06.0,G.Antetokounmpo,6,82-70,3.0,free,throw,2,makes,Milwaukee,2022-06-05 00:06:00
11:08.0,G.Antetokounmpo,6,84-70,4.0,2-pt,dunk,ft,misses,Milwaukee,2022-06-05 11:08:00
