"","Time","Phoenix","","Score","","New Orleans"
"309","0:33.0","","","80-84","","N. Marshall enters the game for H. Jones"
"310","0:33.0","","","80-85","+1","L. Nance makes free throw 2 of 2"
"311","0:10.0","M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul)","+2","82-85","",""
"312","0:02.0","","","82-85","","Turnover by B. Ingram (bad pass)"
"313","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"314","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"315","Time","Phoenix","","Score","","New Orleans"
"316","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"317","11:39.0","D. Booker makes 2-pt jump shot from 17 ft","+2","84-85","",""
"318","11:15.0","","","84-85","","J. Valanciunas misses 2-pt hook shot from 7 ft"
"319","11:14.0","","","84-85","","Offensive rebound by J. Valanciunas"
"320","11:11.0","","","84-87","+2","J. Valanciunas makes 2-pt layup from 1 ft"
"321","10:56.0","Personal foul by J. Alvarado (drawn by C. Paul)","","84-87","",""
"322","10:49.0","M. Bridges misses 2-pt jump shot from 4 ft","","84-87","",""
"323","10:44.0","Offensive rebound by D. Ayton","","84-87","",""
"324","10:43.0","D. Ayton makes 2-pt hook shot from 2 ft","+2","86-87","",""
"325","10:27.0","","","86-87","","Personal foul by D. Ayton (drawn by J. Valanciunas)"
"326","10:12.0","","","86-89","+2","J. Alvarado makes 2-pt layup from 3 ft (assist by B. Ingram)"
"327","9:57.0","D. Ayton makes 2-pt jump shot from 12 ft (assist by C. Johnson)","+2","88-89","",""
"328","9:49.0","","","88-91","+2","B. Ingram makes 2-pt jump shot from 9 ft"
"329","9:23.0","D. Ayton misses 2-pt jump shot from 14 ft","","88-91","",""
"330","9:13.0","Offensive rebound by C. Johnson","","88-91","",""
"331","9:13.0","C. Johnson makes 2-pt layup at rim","+2","90-91","",""
"332","8:56.0","","","90-91","","Turnover by T. Murphy (bad pass; steal by C. Johnson)"
"333","8:50.0","C. Johnson makes 3-pt jump shot from 26 ft (assist by C. Paul)","+3","93-91","",""
"334","8:37.0","","","93-91","","Shooting foul by C. Johnson (drawn by J. Alvarado)"
"335","8:37.0","","","93-91","","J. Alvarado misses free throw 1 of 2"
"336","8:37.0","","","93-91","","Offensive rebound by Team"
"337","8:37.0","","","93-91","","H. Jones enters the game for D. Graham"
"338","8:37.0","","","93-92","+1","J. Alvarado makes free throw 2 of 2"
"339","8:21.0","C. Johnson misses 3-pt jump shot from 25 ft","","93-92","",""
"340","8:17.0","","","93-92","","Defensive rebound by J. Valanciunas"
"341","7:56.0","","","93-92","","H. Jones misses 3-pt jump shot from 23 ft"
"342","7:52.0","Defensive rebound by C. Paul","","93-92","",""
"343","7:45.0","D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker)","+2","95-92","",""
"344","7:26.0","","","95-95","+3","B. Ingram makes 3-pt jump shot from 24 ft (assist by J. Valanciunas)"
"345","7:03.0","C. Paul makes 2-pt jump shot from 14 ft (assist by M. Bridges)","+2","97-95","",""
