"","Time","Dallas","","Score","","Golden State"
"281","7:27.0","Defensive rebound by Team","","76-64","",""
"282","7:27.0","","","76-64","","Loose ball foul by D. Green (drawn by L. Doncic)"
"283","7:06.0","M. Kleber makes 3-pt jump shot from 23 ft (assist by R. Bullock)","+3","79-64","",""
"284","7:03.0","","","79-64","","Golden State full timeout"
"285","7:03.0","","","79-64","","J. Poole enters the game for K. Looney"
"286","6:50.0","","","79-66","+2","K. Thompson makes 2-pt jump shot from 10 ft"
"287","6:46.0","","","79-66","","Violation by Team (delay of game)"
"288","6:37.0","Personal foul by J. Poole (drawn by L. Doncic)","","79-66","",""
"289","6:23.0","Turnover by L. Doncic (bad pass)","","79-66","",""
"290","6:16.0","","","79-68","+2","J. Poole makes 2-pt layup from 3 ft (assist by D. Green)"
"291","6:01.0","Personal foul by D. Green (drawn by D. Finney-Smith)","","79-68","",""
"292","6:01.0","D. Finney-Smith misses free throw 1 of 2","","79-68","",""
"293","6:01.0","Offensive rebound by Team","","79-68","",""
"294","6:01.0","","","79-68","","K. Looney enters the game for D. Green"
"295","6:01.0","D. Finney-Smith misses free throw 2 of 2","","79-68","",""
"296","5:59.0","","","79-68","","Defensive rebound by K. Thompson"
"297","5:41.0","","","79-70","+2","K. Thompson makes 2-pt dunk from 4 ft (assist by J. Poole)"
"298","5:22.0","L. Doncic misses 3-pt jump shot from 29 ft","","79-70","",""
"299","5:19.0","","","79-70","","Defensive rebound by K. Thompson"
"300","5:10.0","","","79-70","","Shooting foul by M. Kleber (drawn by A. Wiggins)"
"301","5:10.0","","","79-70","","A. Wiggins misses free throw 1 of 2"
"302","5:10.0","","","79-70","","Offensive rebound by Team"
"303","5:10.0","S. Dinwiddie enters the game for J. Brunson","","79-70","",""
"304","5:10.0","J. Green enters the game for D. Finney-Smith","","79-70","",""
"305","5:10.0","","","79-71","+1","A. Wiggins makes free throw 2 of 2"
"306","4:54.0","J. Green misses 3-pt jump shot from 24 ft","","79-71","",""
"307","4:51.0","","","79-71","","Defensive rebound by K. Looney"
"308","4:42.0","","","79-71","","J. Poole misses 3-pt jump shot from 25 ft"
"309","4:40.0","Defensive rebound by L. Doncic","","79-71","",""
"310","4:21.0","L. Doncic misses 2-pt jump shot from 18 ft","","79-71","",""
"311","4:18.0","","","79-71","","Defensive rebound by A. Wiggins"
"312","4:15.0","","","79-71","","Shooting foul by J. Green (drawn by S. Curry)"
"313","4:15.0","","","79-72","+1","S. Curry makes free throw 1 of 2"
"314","4:15.0","","","79-72","","O. Porter enters the game for K. Thompson"
"315","4:15.0","","","79-73","+1","S. Curry makes free throw 2 of 2"
"316","4:01.0","S. Dinwiddie makes 2-pt jump shot from 10 ft","+2","81-73","",""
"317","3:48.0","","","81-75","+2","K. Looney makes 2-pt layup from 3 ft (assist by S. Curry)"
"318","3:48.0","","","81-75","","Shooting foul by M. Kleber (drawn by K. Looney)"
"319","3:48.0","D. Finney-Smith enters the game for R. Bullock","","81-75","",""
"320","3:48.0","","","81-76","+1","K. Looney makes free throw 1 of 1"
"321","3:36.0","Turnover by S. Dinwiddie (bad pass)","","81-76","",""
"322","3:25.0","","","81-76","","S. Curry misses 2-pt jump shot from 11 ft (block by D. Finney-Smith)"
"323","3:22.0","","","81-76","","Offensive rebound by Team"
"324","3:17.0","","","81-76","","Turnover by A. Wiggins (bad pass; steal by S. Dinwiddie)"
"325","3:14.0","Offensive foul by S. Dinwiddie (drawn by O. Porter)","","81-76","",""
"326","3:14.0","Turnover by S. Dinwiddie (offensive foul)","","81-76","",""
"327","3:14.0","Instant Replay (Request: Ruling Stands)","","81-76","",""
"328","3:14.0","R. Bullock enters the game for J. Green","","81-76","",""
"329","2:54.0","","","81-76","","S. Curry misses 2-pt jump shot from 22 ft"
"330","2:52.0","Defensive rebound by M. Kleber","","81-76","",""
"331","2:45.0","R. Bullock misses 3-pt jump shot from 26 ft","","81-76","",""
"332","2:42.0","","","81-76","","Defensive rebound by O. Porter"
"333","2:29.0","","","81-76","","J. Poole misses 3-pt jump shot from 23 ft"
"334","2:27.0","Defensive rebound by D. Finney-Smith","","81-76","",""
"335","2:12.0","L. Doncic makes 2-pt layup from 5 ft (assist by M. Kleber)","+2","83-76","",""
"336","2:12.0","","","83-76","","Golden State full timeout"
"337","1:56.0","","","83-78","+2","J. Poole makes 2-pt layup from 4 ft"
"338","1:30.0","R. Bullock misses 3-pt jump shot from 23 ft","","83-78","",""
"339","1:27.0","","","83-78","","Defensive rebound by S. Curry"
"340","1:20.0","","","83-78","","Turnover by S. Curry (bad pass)"
"341","1:07.0","S. Dinwiddie misses 3-pt jump shot from 29 ft","","83-78","",""
"342","1:04.0","","","83-78","","Defensive rebound by K. Looney"
"343","0:54.0","","","83-78","","S. Curry misses 3-pt jump shot from 27 ft"
"344","0:52.0","","","83-78","","Offensive rebound by K. Looney"
"345","0:49.0","","","83-81","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"346","0:33.0","","","83-81","","Violation by Team (kicked ball)"
"347","0:21.0","L. Doncic makes 2-pt hook shot from 8 ft","+2","85-81","",""
"348","0:00.0","","","85-83","+2","K. Looney makes 2-pt dunk from 2 ft (assist by A. Wiggins)"
"349","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
